feature_id,feature_name,feature_type,compartment,channel,unit,software,version
{compartment}_{channel}_radial_cv_1,{Compartment} {Channel} Radial CV Ring 1,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_radial_cv_2,{Compartment} {Channel} Radial CV Ring 2,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_radial_cv_3,{Compartment} {Channel} Radial CV Ring 3,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_std,{Compartment} {Channel} Std Dev Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_std_edge,{Compartment} {Channel} Std Dev Edge Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_upper_quartile,{Compartment} {Channel} Upper Quartile Intensity,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_0,{Compartment} {Channel} Weighted Hu Moment 0,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_1,{Compartment} {Channel} Weighted Hu Moment 1,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_2,{Compartment} {Channel} Weighted Hu Moment 2,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_3,{Compartment} {Channel} Weighted Hu Moment 3,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_4,{Compartment} {Channel} Weighted Hu Moment 4,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_5,{Compartment} {Channel} Weighted Hu Moment 5,intensity,{compartment},{channel},,cp_emulator,
{compartment}_{channel}_weighted_hu_moments_6,{Compartment} {Channel} Weighted Hu Moment 6,intensity,{compartment},{channel},,cp_emulator,
